"Position"	"Len"	"Field"	"Description"	"Flag Position"	"Rev*"	"Values"	"Definition"
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Blank"	""
"394"	"1"	"ME_TRIAL"	"Trial of Labor Attempted"	"621"	"R"	"Y"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"X"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"395-400"	"6"	"Method"	"of Delivery (Unrevised)"	""	""	""	""
""	""	"The"	"checkbox items indented below follow this structure:"	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"9"	""
"395"	"1"	"UME_VAG"	"Vaginal"	"730"	"U"	""	""
"396"	"1"	"UME_VBAC"	"Vaginal after cesarean"	"731"	"U"	""	""
"397"	"1"	"UME_PRIMC"	"Primary cesarean"	"732"	"U"	""	""
"398"	"1"	"UME_REPEC"	"Repeat cesarean"	"733"	"U"	""	""
"399"	"1"	"UME_FORCP"	"Forceps"	"734"	"U,R"	""	""
"400"	"1"	"UME_VAC"	"Vacuum"	"735"	"U,R"	""	""
"401"	"1"	"RDMETH_REC"	"Delivery Method Recode (Revised)"	""	"R"	"1"	""
""	""	""	""	"679"	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	""	"only)"
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	""	"only)"
""	""	""	""	""	""	"9"	""
"402"	"1"	"UDMETH_REC"	"Delivery Method Recode (Unrevised)"	""	"U"	"1"	""
""	""	""	""	"680"	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"9"	""
"403"	"1"	"DMETH_REC"	""	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"9"	""
"404-409"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"410"	"1"	"ATTEND"	"Attendant"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"9"	""
"411-414"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"415-416"	"2"	"APGAR5"	"Five Minute APGAR Score"	""	""	""	""
""	""	""	""	"574"	"U,R"	"00-10"	""
""	""	""	""	""	""	"99"	""
"417"	"1"	"APGAR5R"	"Five Minute APGAR Recode"	""	""	""	""
""	""	""	""	"574"	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
"418-422"	"5"	"FILLER"	"Filler"	""	""	"Blank"	""
"423"	"1"	"DPLURAL"	"Plurality Recode"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
"424"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"425"	"1"	"IMP_PLUR"	"Plurality Imputed"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"426-435"	"10"	"FILLER"	"Filler"	""	""	"Blank"	""
"436"	"1"	"SEX"	"Sex of Infant"	""	"U,R"	"M"	""
""	""	""	""	""	""	"F"	""
"437"	"1"	"IMP_SEX"	"Imputed Sex"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"438-439"	"2"	"DLMP_MM"	"Last Normal Menses - Month"	""	"U,R"	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
""	""	""	""	""	""	"99"	""
"440-441"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"442-445"	"4"	"DLMP_YY"	"Last Normal Menses - Year"	""	"U,R"	"nnnn"	""
""	""	""	""	""	""	"9999"	""
"446-447"	"2"	"ESTGEST"	"Obstetric/Clinical Gestation Est."	""	""	""	""
""	""	""	""	"573"	"U,R"	"th"	"week of gestation"
""	""	""	""	""	""	"99"	""
"448-450"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"451-452"	"2"	"COMBGEST"	"Gestation ? Detail in Weeks 670"	""	"U,R"	"th"	"through 47th week of Gestation"
""	""	""	""	""	""	"99"	""
"453-454"	"2"	"GESTREC10"	"Gestation Recode 10"	""	"U,R"	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"99"	""
"455"	"1"	"GESTREC3"	"Gestation Recode 3"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
"456"	"1"	"OBGEST_FLG"	"Obstetric/Clinical Est. of Gestation Used Flag U,R"	""	""	"Blank"	""
""	""	""	""	""	""	"1"	""
"457"	"1"	"GEST_IMP"	"Gestation Imputed Flag"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"458-462"	"5"	"FILLER"	"Filler"	""	""	"Blank"	""
"463-466"	"4"	"DBWT"	"Birth Weight ? Detail in Grams"	""	"U,R"	"0227-8165"	"Number of grams"
"467-470"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"471-472"	"2"	"BWTR12"	"Birth Weight Recode 12"	""	"U,R"	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
"473"	"1"	"BWTR4"	"Birth Weight Recode 4"	""	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
"474-475"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"476-482"	"7"	"Abnormal"	"Conditions of the Newborn (Revised)"	""	""	""	""
""	""	"The"	"checkbox items below follow this structure:"	""	""	"Y"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"476"	"1"	"AB_AVEN1"	"Assisted Ventilation"	"628"	"R"	""	""
"477"	"1"	"AB_AVEN6"	"Assisted Ventilation > 6 hrs 629"	""	"R"	""	""
"478"	"1"	"AB_NICU"	"Admission to NICU"	"630"	"R"	""	""
"479"	"1"	"AB_SURF"	"Surfactant"	"631"	"R"	""	""
"480"	"1"	"AB_ANTI"	"Antibiotics"	"632"	"R"	""	""
"481"	"1"	"AB_SEIZ"	"Seizures"	"633"	"R"	""	""
"482"	"1"	"AB_BINJ"	"Birth Injury"	"634"	"R"	""	""
"483-491"	"9"	"FILLER"	"Filler"	""	""	"Blank"	""
"492-503"	"12"	"Congenital"	"Anomalies of the Newborn (Revised)"	""	""	""	""
""	""	"The"	"checkbox items below follow this structure:"	""	""	"Y"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"492"	"1"	"CA_ANEN"	"Anencephaly"	"635"	"R"	""	""
"493"	"1"	"CA_MNSB"	"Meningomyelocele / Spina Bifida"	""	""	""	""
""	""	""	""	"636"	"R"	""	""
"494"	"1"	"CA_CCHD"	"Cyanotic Congenital Heart Disease"	""	""	""	""
""	""	""	""	"637"	"R"	""	""
"495"	"1"	"CA_CDH"	"Congenital Diaphragmatic Hernia"	""	""	""	""
""	""	""	""	"638"	"R"	""	""
"496"	"1"	"CA_OMPH"	"Omphalocele"	"639"	"R"	""	""
"497"	"1"	"CA_GAST"	"Gastroschisis"	"640"	"R"	""	""
"498"	"1"	"CA_LIMB"	"Limb Reduction Defect"	"641"	"R"	""	""
"499"	"1"	"CA_CLEFT"	"Cleft Lip w/ or w/o Cleft Palate"	""	""	""	""
""	""	""	""	"642"	"R"	""	""
"500"	"1"	"CA_CLPAL"	"Cleft Palate alone"	"643"	"R"	""	""
"501"	"1"	"CA_DOWNS"	"Down Syndrome"	"644"	"R"	"C"	""
""	""	""	""	""	""	"P"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"502"	"1"	"CA_DISOR"	"Suspected Chromosomal Disorder"	""	""	""	""
""	""	""	""	"645"	"R"	"C"	""
""	""	""	""	""	""	"P"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"503"	"1"	"CA_HYPO"	"Hypospadias"	"646"	"R"	"Y"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"504-525"	"22"	"Congenital"	"Anomalies of the Newborn"	""	""	""	""
""	""	"The"	"checkbox items below follow this structure:"	""	""	"1"	""
""	""	"The"	"version is all 1989 Standard unless otherwise noted."	""	""	"2"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Blank"	""
"504"	"1"	"UCA_ANEN"	"Anencephalus"	"752"	"U,R"	""	""
"505"	"1"	"UCA_SPINA"	"Spina Bifida / Meningocele 753"	""	"U,R"	""	""
"506-512"	"7"	"FILLER"	"Filler"	""	""	""	""
"513"	"1"	"UCA_OMPHA"	"Omphalocele / Gastroschisis"	""	""	""	""
""	""	""	""	"761"	"U,R"	""	""
"514-517"	"4"	"FILLER"	"Filler"	""	""	""	""
"518"	"1"	"UCA_CELFTLP"	"Cleft Lip / Palate"	"766"	"U,R"	""	""
"519-520"	"2"	"FILLER"	"Filler"	""	""	""	""
"521"	"1"	"UCA_HERNIA"	"Diaphragmatic Hernia"	"769"	"U,R"	""	""
"522"	"1"	"FILLER"	"Filler"	""	""	""	""
"523"	"1"	"UCA_DOWNS"	"Down Syndrome"	"771"	"U,R"	""	""
"524-525"	"2"	"FILLER"	"Filler"	""	""	""	""
"526-568"	"43"	"FILLER"	"Filler"	""	""	"Blank"	""
"569-773"	"101"	"Flag"	"File for Reporting Flags"	""	""	""	""
""	""	"The"	"reporting flags below follow this coding structure:"	""	""	"0"	""
""	""	""	""	""	""	"1"	""
"569"	"1"	"F_MORIGIN"	"Origin of Mother"	""	"U,R"	""	""
"570"	"1"	"F_FORIGIN"	"Origin of Father"	""	"U,R"	""	""
"571"	"1"	"F_MEDUC"	"Education of Mother"	""	"R"	""	""
"572"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"573"	"1"	"F_CLINEST"	"Clinical Estimate of Gestation"	""	"U,R"	""	""
"574"	"1"	"F_APGAR5"	"Five minute APGAR"	""	"U,R"	""	""
"575"	"1"	"F_TOBACO"	"Tobacco use"	""	"R"	""	""
"576"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"577"	"1"	"F_PWGT"	"Prepregnancy Weight"	""	"R"	""	""
"578"	"1"	"F_DWGT"	"Delivery Weight"	""	"R"	""	""
"579-581"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"582"	"1"	"F_RF_PDIAB"	"Prepregnancy Diabetes"	""	"R"	""	""
"583"	"1"	"F_RF_GDIAB"	"Gestational Diabetes"	""	"R"	""	""
"584"	"1"	"F_RF_PHYPER"	"Prepregnancy Hypertension"	""	"R"	""	""
"585"	"1"	"F_RF_GHYPER"	"Gestational Hypertension"	""	"R"	""	""
"586"	"1"	"F_RF_ECLAMP"	"Eclampsia"	""	"R"	""	""
"587"	"1"	"F_RF_PPB"	"Previous Preterm Birth"	""	"R"	""	""
"588"	"1"	"F_RF_PPO"	"Poor Pregnancy outcomes"	""	"R"	""	""
"589-592"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"593"	"1"	"F_RF_CESAR"	"Previous Cesarean"	""	"R"	""	""
"594"	"1"	"F_RF_NCESAR"	"Number of Previous Cesareans"	""	"R"	""	""
"595-600"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"601"	"1"	"F_OB_CERVIC"	"Cervical Cerclage"	""	"R"	""	""
"602"	"1"	"F_OB_TOCO"	"Tocolysis"	""	"R"	""	""
"603"	"1"	"F_OB_SUCC"	"Successful External Cephalic Version"	""	"R"	""	""
"604"	"1"	"F_OB_FAIL"	"Failed External Cephalic Version"	""	"R"	""	""
"605"	"1"	"F_OL_RUPTURE"	"Premature Rupture of the Membranes"	""	"R"	""	""
"606"	"1"	"F_OL_PRECIP"	"Precipitous Labor"	""	"R"	""	""
"607"	"1"	"F_OL_PROLONG"	"Prolonged Labor"	""	"R"	""	""
"608"	"1"	"F_LD_INDUCT"	"Induction of Labor"	""	"R"	""	""
"609"	"1"	"F_LD_AUGMENT"	"Augmentation of Labor"	""	"R"	""	""
"610"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"611"	"1"	"F_LD_STERIODS"	"Steroids"	""	"R"	""	""
"612"	"1"	"F_LD_ANTIBIO"	"Antibiotics"	""	"R"	""	""
"613"	"1"	"F_LD_CHORIO"	"Chorioamnionitis"	""	"R"	""	""
"614"	"1"	"F_LD_MECON"	"Meconium Staining"	""	"R"	""	""
"615"	"1"	"F_LD_FINTOL"	"Fetal Intolerance"	""	"R"	""	""
"616"	"1"	"F_LD_ANESTH"	"Anesthesia"	""	"R"	""	""
"617-618"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"619"	"1"	"F_MD_PRESENT"	"Fetal Presentation"	""	"R"	""	""
"620"	"1"	"F_MD_ROUTE"	"Final Route and Method of Delivery"	""	"R"	""	""
"621"	"1"	"F_MD_TRIAL"	"Trial of Labor Attempted"	""	"R"	""	""
"622-627"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"628"	"1"	"F_AB_VENT"	"Assisted Ventilation"	""	"R"	""	""
"629"	"1"	"F_AB_VENT6"	"Assisted Ventilation >6 hrs"	""	"R"	""	""
"630"	"1"	"F_AB_NIUC"	"Admission to NICU"	""	"R"	""	""
"631"	"1"	"F_AB_SURFAC"	"Surfactant"	""	"R"	""	""
"632"	"1"	"F_AB_ANTIBIO"	"Antibiotics"	""	"R"	""	""
"633"	"1"	"F_AB_SEIZ"	"Seizures"	""	"R"	""	""
"634"	"1"	"F_AB_INJ"	"Birth Injury"	""	"R"	""	""
"635"	"1"	"F_CA_ANEN"	"Anencephaly"	""	"R"	""	""
"636"	"1"	"F_CA_MENIN"	"Meningomyelocele/Spina Bifida"	""	"R"	""	""
"637"	"1"	"F_CA_HEART"	"Cyanotic Congenital Heart Disease"	""	"R"	""	""
"638"	"1"	"F_CA_HERNIA"	"Congenital Diaphragmatic Hernia"	""	"R"	""	""
"639"	"1"	"F_CA_OMPHA"	"Omphalocele"	""	"R"	""	""
"640"	"1"	"F_CA_GASTRO"	"Gastroschisis"	""	"R"	""	""
"641"	"1"	"F_CA_LIMB"	"Limb Reduction Defect"	""	"R"	""	""
"642"	"1"	"F_CA_CLEFTLP"	"Cleft Lip with or without Cleft Palate"	""	"R"	""	""
"643"	"1"	"F_CA_CLEFT"	"Cleft Plate Alone"	""	"R"	""	""
"644"	"1"	"F_CA_DOWNS"	"Down Syndrome"	""	"R"	""	""
"645"	"1"	"F_CA_CHROM"	"Suspected Chromosomal Disorder"	""	"R"	""	""
"646"	"1"	"F_CA_HYPOS"	"Hypospadias"	""	"R"	""	""
"647"	"1"	"F_MED"	"Mother's Education"	""	"U"	""	""
"648"	"1"	"F_WTGAIN"	"Weight Gain"	""	"U,R"	""	""
"649-666"	"18"	"FILLER"	"Filler"	""	""	"Blank"	""
"667"	"1"	"F_TOBAC"	"Tobacco Use"	""	"U"	""	""
"668"	"1"	"F_MPCB"	"Month Prenatal Care Began"	""	"R"	""	""
"669"	"1"	"F_MPCB_U"	"Month Prenatal Care Began"	""	"U"	""	""
"670-683"	"14"	"FILLER"	"Filler"	""	""	"Blank"	""
"684"	"1"	"F_URF_DIABETES"	"Diabetes"	""	"U,R"	""	""
"685-687"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"688"	"1"	"F_URF_CHYPER"	"Chronic Hypertension"	""	"U,R"	""	""
"689"	"1"	"F_URF_PHYPER"	"Pregnancy Associated Hypertension"	""	"U,R"	""	""
"690"	"1"	"F_URF_ECLAMP"	"Eclampsia"	""	"U,R"	""	""
"691-702"	"12"	"FILLER"	"Filler"	""	""	"Blank"	""
"703"	"1"	"F_UOB_INDUCT"	"Induction of Labor"	""	"U,R"	""	""
"704"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"705"	"1"	"F_UOB_TOCOL"	"Tocolysis"	""	"U,R"	""	""
"706-711"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"712"	"1"	"F_ULD_MECONIUM"	"Meconium"	""	"U,R"	""	""
"713-717"	"5"	"FILLER"	"Filler"	""	""	"Blank"	""
"718"	"1"	"F_ULD_PRECIP"	"Precipitous Labor"	""	"U,R"	""	""
"719-720"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"721"	"1"	"F_ULD_BREECH"	"Breech"	""	"U,R"	""	""
"722-729"	"8"	"FILLER"	"Filler"	""	""	"Blank"	""
"730"	"1"	"F_U_VAGINAL"	"Vaginal"	""	"U"	""	""
"731"	"1"	"F_U_VBAC"	"Vaginal after Cesarean"	""	"U"	""	""
"732"	"1"	"F_U_PRIMAC"	"Primary Cesarean"	""	"U"	""	""
"733"	"1"	"F_U_REPEAC"	"Repeat Cesarean"	""	"U"	""	""
"734"	"1"	"F_U_FORCEP"	"Forceps"	""	"U,R"	""	""
"735"	"1"	"F_U_VACUUM"	"Vacuum"	""	"U,R"	""	""
"736-751"	"16"	"FILLER"	"Filler"	""	""	"Blank"	""
"752"	"1"	"F_UCA_ANEN"	"Anencephalus"	""	"U,R"	""	""
"753"	"1"	"F_UCA_SPINA"	"Spina Bifida / Meningocele"	""	"U,R"	""	""
"754-760"	"7"	"FILLER"	"Filler"	""	""	"Blank"	""
"761"	"1"	"Omphalocele"	"/ Gastroschisis"	""	"U,R"	""	""
"762-765"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"766"	"1"	"F_UCA_CLEFTLP"	"Cleft Lip / Palate"	""	"U,R"	""	""
"767-768"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"769"	"1"	"F_UCA_HERNIA"	"Hernia"	""	"U,R"	""	""
"770"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"771"	"1"	"F_UCA_DOWNS"	"Down Syndrome"	""	"U,R"	""	""
"772-775"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
